movieId_x,title,genres,movieId_y,release_date,overview,popularity,vote_average,vote_count,tmdb_id,cast,director,content_raw,content
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1.0,11/22/1995,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",29.4626,7.97,19082.0,862.0,"Tom Hanks, Tim Allen, Don Rickles",John Lasseter,"Toy Story (1995) Adventure Animation Children Comedy Fantasy Tom_Hanks Tim_Allen Don_Rickles John_Lasseter Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",toy story 1995 adventure animation child comedy fantasy tom_hanks tim_allen don_rickles john_lasseter led woody andy toy live happily room andy birthday brings buzz lightyear onto scene afraid losing place andy heart woody plot buzz circumstance separate buzz woody owner duo eventually learns put aside difference
2,Jumanji (1995),Adventure|Children|Fantasy,2.0,12/15/1995,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",3.2037,7.24,10881.0,8844.0,"Robin Williams, Kirsten Dunst, Bradley Pierce",Joe Johnston,"Jumanji (1995) Adventure Children Fantasy Robin_Williams Kirsten_Dunst Bradley_Pierce Joe_Johnston When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",jumanji 1995 adventure child fantasy robin_williams kirsten_dunst bradley_pierce joe_johnston sibling judy peter discover enchanted board game open door magical world unwittingly invite alan adult trapped inside game year living room alan hope freedom finish game prof risky three find running giant rhinoceros evil monkey terrifying creature
3,Grumpier Old Men (1995),Comedy|Romance,3.0,12/22/1995,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",2.4286,6.467,403.0,15602.0,"Walter Matthau, Jack Lemmon, Ann-Margret",Howard Deutch,"Grumpier Old Men (1995) Comedy Romance Walter_Matthau Jack_Lemmon Ann-Margret Howard_Deutch A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",grumpier old men 1995 comedy romance walter_matthau jack_lemmon ann margret howard_deutch family wedding reignites ancient feud next door neighbor fishing buddy john max meanwhile sultry italian divorc open restaurant local bait shop alarming local worry scare fish away less interested seafood cooking hot time max
4,Waiting to Exhale (1995),Comedy|Drama|Romance,4.0,12/22/1995,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",1.4808,6.267,174.0,31357.0,"Whitney Houston, Angela Bassett, Loretta Devine",Forest Whitaker,"Waiting to Exhale (1995) Comedy Drama Romance Whitney_Houston Angela_Bassett Loretta_Devine Forest_Whitaker Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",waiting exhale 1995 comedy drama romance whitney_houston angela_bassett loretta_devine forest_whitaker cheated mistreated stepped woman holding breath waiting elusive good man break string less stellar lover friend confidant vannah bernie glo robin talk determined find better way breathe
5,Father of the Bride Part II (1995),Comedy,5.0,12/8/1995,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan thatlike Georgewill have to change with the arrival of both a grandchild and a kid of his own.",1.6454,6.252,763.0,11862.0,"Steve Martin, Diane Keaton, Martin Short",Charles Shyer,"Father of the Bride Part II (1995) Comedy Steve_Martin Diane_Keaton Martin_Short Charles_Shyer Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan thatlike Georgewill have to change with the arrival of both a grandchild and a kid of his own.",father bride part 1995 comedy steve_martin diane_keaton martin_short charles_shyer george bank recovered daughter wedding receives news pregnant george wife expecting planning selling home plan like george change arrival grandchild kid
6,Heat (1995),Action|Crime|Thriller,6.0,12/15/1995,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,15.9774,7.921,7772.0,949.0,"Al Pacino, Robert De Niro, Val Kilmer",Michael Mann,Heat (1995) Action Crime Thriller Al_Pacino Robert_De_Niro Val_Kilmer Michael_Mann Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,heat 1995 action crime thriller al_pacino robert_de_niro val_kilmer michael_mann obsessive master thief neil mccauley lead top notch crew various daring heist throughout los angeles determined detective vincent hanna pursues without rest man recognizes respect ability dedication even though aware cat mouse game may end violence
7,Sabrina (1995),Comedy|Romance,7.0,7/12/2018,A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to call her late mother's spirit.,1.6443,5.333,189.0,503902.0,"Luna Maya, Christian Sugiono, Sara Wijayanto",Rocky Soraya,Sabrina (1995) Comedy Romance Luna_Maya Christian_Sugiono Sara_Wijayanto Rocky_Soraya A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to call her late mother's spirit.,sabrina 1995 comedy romance luna_maya christian_sugiono sara_wijayanto rocky_soraya toy manufacturer wife terrorized demon orphaned niece try call late mother spirit
7,Sabrina (1995),Comedy|Romance,7.0,7/12/2018,A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to call her late mother's spirit.,1.6443,5.333,189.0,503902.0,"Luna Maya, Christian Sugiono, Sara Wijayanto",Rocky Soraya,Sabrina (1995) Comedy Romance Luna_Maya Christian_Sugiono Sara_Wijayanto Rocky_Soraya A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to call her late mother's spirit.,sabrina 1995 comedy romance luna_maya christian_sugiono sara_wijayanto rocky_soraya toy manufacturer wife terrorized demon orphaned niece try call late mother spirit
8,Tom and Huck (1995),Adventure|Children,8.0,12/22/1995,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",0.7341,5.3,198.0,45325.0,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig",Peter Hewitt,"Tom and Huck (1995) Adventure Children Jonathan_Taylor_Thomas Brad_Renfro Eric_Schweig Peter_Hewitt A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",tom huck 1995 adventure child jonathan_taylor_thomas brad_renfro eric_schweig peter_hewitt mischievous young boy tom sawyer witness murder deadly injun joe tom becomes friend huckleberry finn boy future family tom choose honoring friendship honoring oath town alcoholic accused murder tom huck several adventure trying retrieve evidence
9,Sudden Death (1995),Action,9.0,11/7/2021,A kid is riding a bike to his home and realising that hes not alone,0.0362,10.0,1.0,895601.0,Harley Longstaff,Harley Longstaff,Sudden Death (1995) Action Harley_Longstaff Harley_Longstaff A kid is riding a bike to his home and realising that hes not alone,sudden death 1995 action harley_longstaff harley_longstaff kid riding bike home realising alone
