movieId,title,release_date,overview,popularity,vote_average,vote_count,tmdb_id
1,Toy Story (1995),11/22/1995,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",29.4626,7.97,19082,862
2,Jumanji (1995),12/15/1995,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",3.2037,7.24,10881,8844
3,Grumpier Old Men (1995),12/22/1995,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",2.4286,6.467,403,15602
4,Waiting to Exhale (1995),12/22/1995,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",1.4808,6.267,174,31357
5,Father of the Bride Part II (1995),12/8/1995,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",1.6454,6.252,763,11862
6,Heat (1995),12/15/1995,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,15.9774,7.921,7772,949
7,Sabrina (1995),7/12/2018,A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to call her late mother's spirit.,1.6443,5.333,189,503902
8,Tom and Huck (1995),12/22/1995,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",0.7341,5.3,198,45325
9,Sudden Death (1995),11/7/2021,A kid is riding a bike to his home and realising that he’s not alone,0.0362,10,1,895601
10,GoldenEye (1995),11/16/1995,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",10.5017,6.895,4084,710
